title,"""The Ends of the World"""
Utena,That's not it! I...Himemiya... 
Akio,That's right. You didn't even try to understand Anthy.
Akio,"In the end, you had your hands full just thinking about yourself."
Akio,How cute. You're a good woman. 
Akio,You should stay a girl. 
Akio,"There was a time when you were helpless and reality subjugated you,"
Akio,no matter how much you struggled. 
Akio,"With no way to escape the cruel reality before your eyes,"
Akio,you tried to segregate yourself from the world.
Akio,The one who saved you from within that darkness...was me.
Akio,I'm the one who gave you the power to face the world again.
Akio,"At that time, I was a Prince to you. "
Akio,"But, I'm the same, then and now. "
Akio,"And Anthy was the Rose Bride, then and now."
Akio,And she's a witch. 
Akio,"That goes for you too. Both then and now, you're a girl."
Akio,There's no need for you to fight with a sword in your hand.
Akio,"You can become a noble, beautiful princess. "
Akio,"Now, won't you give me that sword? "
Utena,What do you plan to do with this sword? 
Akio,I'll Revolutionize the World. 
Utena,Aren't you her brother?! 
Utena,Are you just going to abandon her? 
Akio,Foolish lifeform. 
Akio,There never was any such thing as a Prince anywhere in the world in the first place.
Utena,Didn't you just say you were a Prince? 
Akio,Do you know what that is? 
Akio,"It's Dios's, the Prince's Grave. "
Akio,"When she became known as a witch, Dios perished."
Akio,The Princely me no longer exists. 
Utena,I guess I have no choice but to fight with you.
Akio,For Anthy? 
Akio,"I thought that she was a goddess who sacrificed her body for the one she loved, for me."
Akio,I once thought so too. 
Akio,"And she really might have been, once. But now she's a witch."
Akio,And she enjoys being a witch. 
Utena,You're the one who's making her a witch! 
Akio,Wrong. We love each other. She can't be happy any other way.
Touga,"If it does not break the egg's shell, "
Touga,the chick will die without being born. 
Miki,We are the chick. 
Juri,The egg is the world. 
Nanami,"If we do not break the shell of the world,"
Nanami,we will die without being born. 
Saionji,Break the shell of the world. 
all,To Revolutionize the World! 
Miki,"It's begun, hasn't it. "
Juri,Yeah. 
Nanami,Tenjou Utena. 
Saionji,That's right. 
Nanami,"So, what happens to the Victor of this game?"
Touga,Nobody knows. But it will be her final trial.
Touga,The Duel Called Revolution has now begun.
Akio,I'm not a Duelist. 
Akio,Fighting me isn't some play duel. 
Utena,I was never playing when I dueled! 
Akio,"No, you know nothing besides play duels. "
Akio,"But if you don't put up your sword now, you'll find out how terrifying real duels are."
Utena,I won't let you beat me. 
Akio,A child like you can't appreciate my ideals.
Akio,The Rose Bride exists because of ideals you don't comprehend.
Utena,What kind of shitty ideal makes you use this room to control everybody's lives?!
Akio,A child wouldn't appreciate the value of this room.
Utena,What is the value of this room?! 
Utena,Making Himemiya suffer more?! 
Akio,She's the Rose Bride of her own free will.
Akio,There's no call for you to interfere. 
Anthy,"I am the Rose Bride...from today forward, I am your flower."
Anthy,"Really, I... "
Anthy,"I'm sorry, Utena-sama. "
Anthy,I'm so sorry. 
Utena,I'll be the one to free her from you! 
Akio,Do you know what you're saying? 
Utena,Sure I do! It means I'll become a Prince! 
Utena,Why...? 
Utena,Himemiya...why... 
text,Next Episode Preview 
shadow,Extra extra! 
shadow,They caught me by surprise from behind! 
shadow,But I couldn't become a real princess with a fake prince!
shadow,"Oh, when that happens the power of miracles will make me a real Prince!"
shadow,That's right out of some anime or something.
shadows,"Shoujo Kakumei Utena - the Finale! shadows/text: Someday, Shine With Me"
shadow,"I wonder I wonder, do you know what I wonder?!"
shadow,Whatever. The Absolute Destiny: Apocalypse. TRANSLATOR'S NOTE ON THE EPISODENone.Return to the Script Index ... Returnto Empty Movement
