Speaker,Line,Episode,Arc
Utena,A lovers' quarrel? ,1,1
Utena,At least do that someplace where no one else can see you.,1,1
Utena,"Hey, hey... that's going a bit too far. ",1,1
Utena,Whew... ,1,1
Wakaba,Utena! ,1,1
Utena,Wakaba.. you're heavy... ,1,1
Wakaba,This is your punishment for leaving me behind this morning. Now say you're sorry!,1,1
Utena,"Okay, okay... ",1,1
Wakaba,"Oh, Saionji-sama! ",1,1
Utena,Saionji? ,1,1
Wakaba,You don't know who Saionji-sama is? ,1,1
Utena,"Oh, is he famous? ",1,1
Utena,I know who the guy in front of him is. ,1,1
Utena,"That's got to be Kiryuu Touga, the Student Council President, right?",1,1
Wakaba,"Yep! And the other guy is the Vice-President, Saionji Kyouichi-sama.",1,1
Utena,What about her? ,1,1
Wakaba,Ahh... that's Himemiya Anthy. ,1,1
Utena,Himemiya... Anthy... ,1,1
Wakaba,"All she does is take care of the roses, though no one's asked her to. She's so weird.",1,1
Wakaba,She'll be in our class from now on. ,1,1
Utena,"So, is Saionji going out with that Himemiya girl?",1,1
Wakaba,Not even! Tough old Saionji-sama could never have any feelings for a girl like her.,1,1
Wakaba,The only reason they're together is because they're both part of the Student Council.,1,1
Utena,"Wakaba... he's sort of your type, isn't he?",1,1
Wakaba,"Oh, I hate it when you get jealous! Don't you worry, I belong only to you.",1,1
Wakaba,"After all, you're much, much cooler than any boy!",1,1
Saionji,"This is a sudden meeting, fellow Councilors... ",1,1
Miki,"Saionji-san, we are the chosen members of the Rose Signet.",1,1
Juri,Don't forget that our one and only rule is to uphold the Code.,1,1
Touga,"Saionji, we have a problem with the way you've been treating the Bride recently.",1,1
Saionji,"Oh, is that so? ",1,1
Touga,"Certainly, she is engaged to you currently. ",1,1
Touga,"However, that doesn't mean you can do whatever you please to her.",1,1
Miki,"""Whatever he pleases?"" ",1,1
Juri,"""Whatever he pleases,"" you say? ",1,1
Touga,"Quit abusing the Bride, Saionji. ",1,1
Touga,The existence of our Student Council is the behest of the Ends of the World.,1,1
Touga,"Should they know of this matter, the Ends of the World will be displeased.",1,1
Saionji,Stay out of this. ,1,1
Saionji,"Presently, the Bride and I are deeply in love.",1,1
Saionji,I don't want to hear complaints from the likes of you.,1,1
Miki,"""Deeply in love?"" ",1,1
Anthy,"Right now, I am Saionji-sama's Bride. ",1,1
Anthy,I will do everything he wishes. ,1,1
Saionji,"Well, that's how it is between us. ",1,1
Saionji,"If you're so concerned with the Code, ",1,1
Saionji,"then win back the Bride in a duel in accordance with the Code, Councilors.",1,1
Touga,Don't forget that the next duel will be soon upon-,1,1
Saionji,I'm already looking forward to whoever it is that will challenge me.,1,1
Wakaba,"Ooh, that's so pretty... that rose pattern. ",1,1
Wakaba,"Say, that's our school emblem, isn't it?",1,1
Utena,Sure looks like it. ,1,1
Wakaba,Who'd you get it from? ,1,1
Utena,A prince on a white horse. ,1,1
Utena,"""This ring should guide thee to me."" ",1,1
Wakaba,What's that about? ,1,1
Utena,"I think someone said that to me when he gave me the ring,",1,1
Utena,"but I was real little then, so I don't remember too well.",1,1
Wakaba,I know what you mean. ,1,1
Wakaba,"When I was a little girl, my mama said to me,",1,1
Wakaba,"""You're the princess of the Onion Kingdom!"" ",1,1
Wakaba,and I actually believed her. ,1,1
Utena,"So your head's always been shaped like that, huh?",1,1
Wakaba,I wonder what that's about... ,1,1
crowd,Now what's this? ,1,1
Utena,What's going on here? ,1,1
boy,Someone's love letter got posted here. ,1,1
Utena,Love letter? ,1,1
boy,"hmmm, let's see... ""so then I was dancing with you in my dreams, Saionji-san.""",1,1
boy,"""You were smiling so gently. You must think I'm such an idiot.""",1,1
boy,Heh! I'll say! ,1,1
Utena,You guys are the idiots! ,1,1
Utena,This is such a tasteless thing to do. ,1,1
boy,"Hey, if it's up there, anybody would read it.",1,1
Utena,Nice guys wouldn't read this- ,1,1
Utena,Wakaba... ,1,1
Utena,Wakaba! ,1,1
Utena,YOU sent that letter to Saionji? ,1,1
Utena,That Saionji jerk is not getting away with this...,1,1
Saionji,How should I know? ,1,1
Saionji,Someone probably picked the letter out of the trash and posted it on their own.,1,1
Utena,Why did you throw it away in such a public place?,1,1
Saionji,What I do with my letters is my own business.,1,1
Saionji,"But, now that I think of it, ",1,1
Saionji,"if that sort of stupid, no, silly letter has amused anyone, then all the better.",1,1
Saionji,Was that all you wanted to talk about? ,1,1
Utena,No. ,1,1
Utena,"You're the captain of the Kendo Club, right?",1,1
Utena,You've got a duel with me today after school!,1,1
Saionji,What do you... ,1,1
Saionji,So that's it. ,1,1
Saionji,You're the next challenger. ,1,1
Utena,What do you mean by that? ,1,1
Saionji,"All right, then. ",1,1
Saionji,I'll meet you after classes at the Duel Arena in the forest at the rear of the school.,1,1
Utena,Forest? The one that's off-limits? ,1,1
Shadow,"I wonder, I wonder... do you know what I wonder?",1,1
Shadow,I hear there's going to be another duel out back in the forest today!,1,1
Shadow,"Oh, brave warrior, you're going to fight for your friend, meddlesome brave warrior!",1,1
Shadow,"But beware, brave warrior... ",1,1
Shadow,"They fight by a Code, there in the forest. ",1,1
Shadow,"Do you know that, I wonder? ",1,1
Shadow,"I wonder, I wonder... ",1,1
Shadow,Do you know what I wonder? ,1,1
Utena,"What the... Now how am I supposed to get into this place, anyway?",1,1
Utena,"And of course, it's locked. ",1,1
Utena,Hey! That's cold! ,1,1
Utena,What kind of gate is this? ,1,1
Utena,"Well, whatever. I'm going in! ",1,1
ZUM,The Absolute Destiny: Apocalypse ,1,1
ZUM,The Absolute Destiny: Apocalypse ,1,1
ZUM,Birth records ,1,1
ZUM,Baptismal records ,1,1
ZUM,Death records ,1,1
ZUM,A wet-nurse and a midwife in a dark desert ,1,1
ZUM,A gold-gilded Shangri-La ,1,1
ZUM,Day and night reversing ,1,1
ZUM,A time-gilded Lost Paradise ,1,1
ZUM,Darkness over Sodom ,1,1
ZUM,Darkness ever glowing ,1,1
ZUM,Darkness over yonder ,1,1
ZUM,Darkness never ending ,1,1
ZUM,The Absolute Destiny: Apocalypse ,1,1
ZUM,"The Absolute Destiny: Apocalyptic Darkness, Apocalypse",1,1
ZUM,mokushi kushimo shimoku kumoshi moshiku shikumo,1,1
ZUM,mokushi kushimo shimoku kumoshi moshiku shikumo,1,1
Utena,A castle in midair? How? ,1,1
Saionji,"So, this is your first time to see the castle, eh?",1,1
Utena,What is it? I sure couldn't see it from outside the forest.,1,1
Saionji,"It's a mirage, of sorts. ",1,1
Saionji,"You can think of it as magic, if you like.",1,1
Utena,A mirage? ,1,1
Saionji,What surprises me is someone outside the Student Council possessing a Rose Signet.,1,1
Utena,Rose Signet? ,1,1
Saionji,I mean this. ,1,1
Utena,That ring... ,1,1
Saionji,Anthy! ,1,1
Saionji,Prepare us for battle! ,1,1
Utena,Himemiya... Anthy... ,1,1
Utena,"Himemiya, what are YOU doing here? ",1,1
Saionji,"Naturally, the Bride ought to be in attendance.",1,1
Utena,Bride? ,1,1
Utena,That smell... ,1,1
Utena,"It's the same, the same as my prince's roses.",1,1
Anthy,The person whose rose gets scattered loses the duel.,1,1
Utena,Huh? ,1,1
Anthy,Good luck to you. ,1,1
Utena,What was that for? ,1,1
Saionji,"Don't toy with me, Anthy! ",1,1
Saionji,"You're the Rose Bride, in other words, MY flower.",1,1
Saionji,How dare you wish anyone else good luck?,1,1
Anthy,"I'm sorry, Saionji-sama. ",1,1
Utena,"Stupid! He does all this, and you still submit to him?",1,1
Anthy,"Saionji-sama is the current duel champion, so he can do with me as he likes.",1,1
Utena,What does that mean? ,1,1
Utena,Isn't he supposed to be your boyfriend? ,1,1
Saionji,"So, let us begin. ",1,1
Utena,"I'm not sure what's going on here, but it doesn't matter, as long as I beat him, right?",1,1
Anthy,"O roses of the noble castle, ",1,1
Utena,What? More magic? ,1,1
Anthy,"O Power of Dios that slumbers within me,",1,1
Anthy,Harken unto thy master and reveal to us...,1,1
Saionji,...the power to revolutionize the world! ,1,1
WWWW,When Where Who Which ,1,1
WWWW,When Where Who Which ,1,1
Saionji,You're pretty good... for a girl. ,1,1
Saionji,So you want to be the prince who saves the helpless princess?,1,1
WWWW,"Flow of blood from the cage of my memory,",1,1
Saionji,Unfortunately... ,1,1
WWWW,In the cradle of a thousand years of bliss.,1,1
Utena,"Oh, no! ",1,1
WWWW,"And I, an actor cast eternally",1,1
Utena,That magical sword... is real? ,1,1
Saionji,I'm surprised at you. ,1,1
Saionji,"Really now, challenging the Sword of Dios with a simple bamboo practice sword?",1,1
WWWW,as the Sphinx in the desert winter.,1,1
Utena,Sword of Dios? ,1,1
Saionji,You don't know about the Sword of Dios? Who ARE you?,1,1
Saionji,You ARE an intriguing creature. ,1,1
Utena,"Hey, this fight ain't over yet! ",1,1
WWWW,Now you know the sadness ,1,1
Saionji,"If you so desire, I'll gladly stain that rose with your blood, with but a single strike.",1,1
Saionji,"Go ahead then, risk your life and face me... if you have the courage!",1,1
WWWW,of the stillborn flesh. ,1,1
Saionji,"You, a prince on a white horse, out to save a princess?",1,1
WWWW,"And I, a holy actor, cast eternally",1,1
Narration,"""Little one bearing up alone under grief, ",1,1
WWWW," as a dark shining Margineaux, cast into Hell.",1,1
Narration,"please lose not thy strength and nobility when thou growest up.""",1,1
WWWW,Glow! ,1,1
Saionji,What? ,1,1
WWWW,Burn! ,1,1
WWWW,"Cool down, ",1,1
WWWW,and sing! ,1,1
Saionji,Stupid bitch! ,1,1
WWWW,"Born in this world, ",1,1
WWWW,"born in an instant, ",1,1
WWWW,born all over again. ,1,1
Saionji,It can't be... ,1,1
Saionji,I've... lost? ,1,1
Saionji,Anthy... ,1,1
Anthy,"Take it easy, Saionji... sempai. ",1,1
Touga,This is an unexpected turn of events. ,1,1
Touga,And she's in junior high school? ,1,1
Touga,"All right, baby. ",1,1
Touga,You've set my heart on fire. ,1,1
Utena,"Ahh.. That was really weird, whatever happened back there.",1,1
Utena,"What was all that, anyway? ",1,1
Utena,"Oh well, better just forget about it! ",1,1
Utena,Huh? You... ,1,1
Anthy,"I've been waiting for you, Utena-sama. ",1,1
Anthy,"I am the Rose Bride, and from today on, I am your flower.",1,1
ED,Missing truth and forever ,1,1
ED,Kissing love and true your heart ,1,1
ED,Embrace me with your true arms ,1,1
ED,The key to open up tomorrow is reality ,1,1
ED,I want to keep on destroying lies. ,1,1
ED,"Even if we keep on talking, ",1,1
ED,you still won't ever see. ,1,1
ED,Excuses really suit adults ,1,1
ED,who hang on to old stories. ,1,1
ED,Because unchosen angels ,1,1
ED,have no need for wings. ,1,1
ED,"Missing truth and forever, ",1,1
ED,"Kissing love and true your heart, ",1,1
ED,I will like tomorrow's new me. ,1,1
ED,"At least I believe so; I want to believe it,",1,1
ED,so I want to keep lies hating me. ,1,1
 OP,"Heroically, with bravery",2,1
OP,"I'll go on with my life, ",2,1
OP,"just a long, long time. ",2,1
OP,But if the two of us should get split up,2,1
OP,"by whatever means, ",2,1
OP,"let go of me, ",2,1
OP,Take my revolution. ,2,1
Title,Utena - La Fillette Revolutionnaire ,2,1
OP,"In the sunny garden, we held each other's hands,",2,1
OP,"drew close together and soothed each other with the words,",2,1
OP,"""Neither of us will ever fall in love again.""",2,1
OP,Everytime ,2,1
OP,Into this photograph of us ,2,1
OP,"smiling cheek to cheek, ",2,1
OP,"I took a bit of loneliness, ",2,1
OP,and crammed it inside. ,2,1
OP,Revolution! ,2,1
OP,"Even in my dreams, even through my tears, ",2,1
OP,"even though I'm being hurt, ",2,1
OP,"reality is approaching now, frantically. ",2,1
OP,What I want now is to find out ,2,1
OP,"just where I belong, ",2,1
OP,"and my self-worth, up through today. ",2,1
OP,"Heroically, I'll throw away ",2,1
OP,"my clothes 'til I'm nude, ",2,1
OP,"like the roses dancing all around me, whirling free.",2,1
OP,But if the two of us should get split up,2,1
OP,"by whatever means, ",2,1
OP,"I swear to you, I will change the world. ",2,1
Girl,Utena-sama!,2,1
Girl,Good morning! ,2,1
Utena,Morning! ,2,1
Girl,She's so cool! ,2,1
Nameplate,Ohtori Academy Junior/Senior High School,2,1
Title,For Whom the Rose Smiles ,2,1
Utena,Morning! ,2,1
Girl,Morning! ,2,1
Boy,Someone's love letter got posted here. ,2,1
Boy,"hmm... let's see... ""and in my dreams, I was dancing with you, Saionji-sama.""",2,1
Utena,"Morning, Wakaba! ",2,1
Utena,"That's a change, you reading a book. ",2,1
Utena,"What's it called, huh? ",2,1
Wakaba,For a long time... ,2,1
Wakaba,"the heroine has a secret crush on someone,",2,1
Wakaba,"but ends up with a broken heart. Luckily, ",2,1
Wakaba,the next day another guy appears and they get married.,2,1
Wakaba,"When I first read it, I thought, ""No way! This sucks!""",2,1
Wakaba,But now I love it! ,2,1
Wakaba,"Yes! I'm yours, Utena! Utena! Utena! Utena-sama! You're all mine!",2,1
Utena,"Uh, listen, Wakaba... ",2,1
Utena,"Would you do me a favor and stop saying things like ""I'm yours?""",2,1
Wakaba,How come? ,2,1
Anthy,Good morning. ,2,1
Touga,"If the egg's shell does not break, the chick will die without being born.",2,1
Touga,We are the chick; the egg is the world. ,2,1
Touga,"If the world's shell does not break, we will die without being born.",2,1
Touga,Break the world's shell! ,2,1
Touga,For the sake of revolutionizing the world!,2,1
Juri,For the sake of revolutionizing the world!,2,1
Touga,"Have you received your new letters from the Ends of the World, Councilors?",2,1
Juri,"Yes, we have. ",2,1
Touga,We have all been meeting and carrying out the letters' instructions.,2,1
Touga,"As it says in this one, Saionji was defeated yesterday.",2,1
Touga,And the Rose Bride became engaged to the girl who won the duel.,2,1
Juri,Is someone outside the Student Council receiving letters from the Ends of the World?,2,1
Touga,Who's to say? ,2,1
Touga,"However, she WAS wearing the Rose Signet. I saw it with my own eyes.",2,1
Juri,Who is this girl? ,2,1
Miki,Tenjou Utena. ,2,1
Miki,"She's quite well known in junior high. Popular, too.",2,1
Touga,And gallant... and cute... ,2,1
Juri,This isn't funny. Another participant in the Duels was added without our knowledge.,2,1
Juri,If that ever happens again... ,2,1
Touga,"And if it does, what then? ",2,1
Touga,You'll quit the game? ,2,1
Touga,The Ends of the World sends the letters to us unidirectionally.,2,1
Touga,Whether or not we obey them is our own decision.,2,1
Miki,"With this Rose Signet, the gates to the Duel Arena opened,",2,1
Miki,"and the illusionary castle appeared, just as the letters said.",2,1
Juri,I know. ,2,1
Juri,I could never quit once I saw that spectacle. ,2,1
Touga,True. The Ends of the World writes in the letters ---,2,1
Touga,"""The one who wins a series of Duels and becomes engaged to the Rose Bride,",2,1
Touga,"shall eventually reach the castle and receive the power to revolutionize the world.""",2,1
Touga,"And so, we must keep fighting. ",2,1
Wakaba,"God is so cruel, giving us, best friends, different rooms!",2,1
Utena,"Well, what can you do? It was the Student Council's decision.",2,1
Utena,"Anyway, I heard I got a single room. That's about right for my cool lifestyle.",2,1
Wakaba,But East Hall has been empty for over ten years.,2,1
Wakaba,I bet it'd be pretty tough to clean it all up.,2,1
Utena,Ten years?... ,2,1
Wakaba,"Well, cleaning it up all by yourself should be about right for your cool lifestyle!",2,1
Wakaba,Anyway... my room is on the third floor of South Hall.,2,1
Wakaba,Drop by when you're tired of the haunted house. See ya!,2,1
Utena,Haunted house? ,2,1
Utena,Hey! This is a pretty cute house! ,2,1
Utena,"Damn, Wakaba scared me for nothing. ",2,1
Utena,Hello? ,2,1
Utena,Tenjou Utena here! ,2,1
Utena,Isn't anybody here? ,2,1
Utena,Don't tell me I'm supposed to live here all alone...,2,1
Utena,"Let's see, the farthest room on the second floor...",2,1
Utena,"Ten years, huh? ",2,1
Utena,It might be... ,2,1
Utena,Here goes! ,2,1
Anthy,"Pardon me, Utena-sama. I'll be finished shortly.",2,1
Utena,How come you're here? ,2,1
Anthy,We're to be sharing this room together from now on. Pleased to meet you.,2,1
Utena,"Pleased to meet you, too... Isn't this supposed to be a single room?",2,1
Nameplate,Tenjou Utena Himemiya Anthy ,2,1
Utena,Guess not... ,2,1
Utena,Us sharing a room together is a curious coincidence.,2,1
Utena,"It's looking mighty clean, there. ",2,1
Utena,Sorry to make you do it all by yourself. ,2,1
Anthy,"Well, I did most of it last night. ",2,1
Utena,But they only announced room assignments a short time ago.,2,1
Anthy,Us sharing a room together is no coincidence. ,2,1
Anthy,It's because of the Code of the Rose Signet.,2,1
Anthy,"I am the Rose Bride, and so, ",2,1
Utena,"""Bride?"" ",2,1
Anthy,I am to be engaged to the winner of the Duel.,2,1
Utena,Is that okay with you? ,2,1
Utena,"Let me ask one thing. That mirage castle, ",2,1
Utena,"and that magic sword, what in the world are those things?",2,1
Anthy,"They are mysterious, aren't they? ",2,1
Utena,"""aren't they?..."" You don't know either? ",2,1
Utena,How can you be involved in all that and not know?,2,1
Anthy,"Utena-sama, why are you always wearing men's clothes?",2,1
Utena,"'Cause, well... I just like it. ",2,1
Anthy,The same for me. ,2,1
Anthy,"Does it bother you, having us here? ",2,1
Utena,I wouldn't say that exactly... ,2,1
Utena,"Huh? Did you say, ""us?"" ",2,1
Anthy,Let me introduce you. This is my friend Chuchu.,2,1
Utena,Your pet? ,2,1
Anthy,My FRIEND. ,2,1
Anthy,"Oh, my goodness! ",2,1
Utena,Here ya go. ,2,1
Utena,"Nice to meet you, Chuchu. I'm Tenjou Utena.",2,1
Utena,"Would you be my friend, too? ",2,1
Anthy,"This is the first time Chuchu has ever taken a liking to another person, Utena-sama!",2,1
Utena,"Um, look, would you stop calling me ""Utena-sama?""",2,1
Anthy,"But you're the one I am engaged to, Utena-sama.",2,1
Utena,There you go again... ,2,1
Utena,That Saionji guy was wearing a ring just like mine.,2,1
Utena,Do you know what it is? ,2,1
Anthy,All the Student Council members have one.,2,1
Anthy,It is the Rose Signet. ,2,1
Anthy,Anyone who has that ring is entitled to participate in the Duels.,2,1
Anthy,"So, since you are the current champion, ",2,1
Anthy,"one by one, you will be challenged to Duels by the other bearers of the Rose Signet.",2,1
Utena,You've gotta be kidding! ,2,1
Utena,No way I'm going to keep fighting those pointless duels!,2,1
Saionji,"Oh, it's you, Mr. President.",2,1
Touga,"Did I interrupt you, Mr. Vice-President? ",2,1
Saionji,"No. At least, you're enrolled in this club.",2,1
Touga,"So, is the captain of the Kendo Club going to fight the Junior High kid again?",2,1
Saionji,Of course. The power to revolutionize the world belongs to me.,2,1
Saionji,For someone like her to be engaged to the Bride would be a travesty.,2,1
Touga,"That can't be helped. No matter what you say, she...",2,1
Touga,"Himemiya Anthy, will become engaged to the Victor of the Duel.",2,1
Saionji,NO! She belongs to me! ,2,1
Saionji,She wrote explicitly in our exchange diary that she'd obey me forever.,2,1
Touga,So... you two kept an exchange diary? ,2,1
Utena,"Aw, man... ",2,1
Utena,There's really nobody but me and her in this dorm?,2,1
Utena,Is this also part of the Rose Signet Code?,2,1
Utena,Chuchu! Can you go bring her right away?,2,1
Utena,"If she doesn't show soon, I'll have to eat dinner all alone in this big old dining hall.",2,1
Saionji,"Why, Anthy!? ",2,1
Saionji,Why can't you obey me!? ,2,1
Anthy,"I'm sorry, Saionji-sempai. ",2,1
Anthy,It's because I'm engaged to Utena-sama now.,2,1
Saionji,"But when we were engaged, didn't you swear you'd dedicate yourself entirely to me?",2,1
Anthy,"True, but that's a thing of the past. ",2,1
Anthy,My engagement to you is over and done with.,2,1
Anthy,Please give up on it. ,2,1
Saionji,How shameless! ,2,1
Saionji,How shameless you are! ,2,1
Utena,You're the shameless one! ,2,1
Saionji,"Ah, you again. Well, this is fortuitous. ",2,1
Saionji,"In our last Duel, I let my guard down.",2,1
Saionji,Why don't we settle once and for all...,2,1
Saionji,"just who the Rose Bride will belong to, eh?",2,1
Saionji,"Tomorrow after school, we'll have a rematch at the Duel Arena.",2,1
Utena,That's insane. I'm not about to fight a Duel for no reason.,2,1
Utena,"Yesterday, I fought for my friend, Wakaba.",2,1
Utena,"I don't care about any of this ""Rose Bride"" stuff.",2,1
Saionji,"However, I do. ",2,1
Saionji,"And if you intend to stay engaged to the Bride as a Duelist,",2,1
Saionji,then you cannot refuse. ,2,1
Saionji,Those who disobey the rules of the Student Council will be expelled from the Academy.,2,1
Saionji,That's a school regulation. ,2,1
Utena,"Fine, then I accept. ",2,1
Utena,I'll meet you at the Duel Arena tomorrow after school.,2,1
Anthy,I thought you weren't going to accept any Duels...,2,1
Utena,"What could I do? If I didn't accept the Duel, I'd be kicked out of the Academy.",2,1
Utena,I'll just throw the Duel. ,2,1
Utena,"After that, no problem, right? ",2,1
Anthy,"Well, whatever you like. ",2,1
Shadow,"I wonder, I wonder... do you know what I wonder?",2,1
Shadow,There's going to be another duel out back in the forest today.,2,1
Shadow,The time has come to settle things once and for all.,2,1
Shadow,I'm done for... ,2,1
Shadow,"But it's okay, 'cause I lost on purpose! ",2,1
Shadow,"But beware, brave warrior, ",2,1
Shadow,do you know how difficult it is... ,2,1
Shadow,...to lose on purpose? ,2,1
Shadow,"I wonder, I wonder... ",2,1
Shadow,Do you know what I wonder? ,2,1
ZUM,Absolute Destiny Apocalypse ,2,1
ZUM,Absolute Destiny Apocalypse ,2,1
ZUM,Birth records ,2,1
ZUM,Baptismal records ,2,1
ZUM,Death records ,2,1
ZUM,Absolute Destiny Apocalypse ,2,1
ZUM,Absolute Destiny Apocalypse ,2,1
ZUM,"My own birth, ",2,1
ZUM,"Absolute birth, ",2,1
ZUM,Apocalypse ,2,1
ZUM,A wet-nurse and a midwife in a dark desert ,2,1
ZUM,A gold-gilded Shangri-La ,2,1
ZUM,Day and night reversing ,2,1
ZUM,A time-gilded Lost Paradise ,2,1
ZUM,Darkness over Sodom ,2,1
ZUM,Darkness ever glowing ,2,1
ZUM,Darkness over yonder ,2,1
ZUM,Darkness never ending ,2,1
ZUM,Absolute Destiny Apocalypse ,2,1
ZUM,Absolute Destiny Apocalyptic Darkness; Apocalypse,2,1
ZUM,mokushi kushimo shimoku kumoshi moshiku shikumo,2,1
ZUM,mokushi kushimo shimoku kumoshi moshiku shikumo,2,1
Saionji,You know the rule... ,2,1
Utena,"If the rose on my chest gets scattered, I lose, right?",2,1
Anthy,Do be careful. ,2,1
Utena,I will. ,2,1
Utena,It's foolish to get hurt when you know you're going to lose on purpose.,2,1
Anthy,"O Roses of the noble castle, ",2,1
Anthy,"O Power of Dios that slumbers within me,",2,1
Anthy,Harken unto thy master and reveal to us...,2,1
Utena,...the power to revolutionize the world! ,2,1
Paleozoic,"Astrologic eras, ",2,1
Paleozoic,"primeval oceans, ",2,1
Paleozoic,erosion and sediment ,2,1
Paleozoic,"Three billion years, ",2,1
Paleozoic,"genesis of life, ",2,1
Paleozoic,geologic eras ,2,1
Paleozoic,"Cambrian, ",2,1
Paleozoic,"Ordovician, ",2,1
Paleozoic,"Silurian, ",2,1
Paleozoic,"Devonian, ",2,1
Saionji,I have you now! ,2,1
Paleozoic,"Stromatolite, ",2,1
Paleozoic,"bacteria, ",2,1
Paleozoic,collenia. ,2,1
Saionji,"Pretty courageous of you, valuing that rose more than your own life.",2,1
Paleozoic,"Triassic, Jurassic, Cretaceous.",2,1
Saionji,"You understand, don't you? ",2,1
Saionji,"The one whose rose gets scattered loses, whether they live or die.",2,1
Paleozoic,"Lycopsida, ",2,1
Paleozoic,"selaginella, ",2,1
Paleozoic,pleuromeia. ,2,1
Paleozoic,Caytonia ,2,1
Paleozoic,"bennetites, ",2,1
Paleozoic,ammonite. ,2,1
Paleozoic,"Oceanic Rose, ",2,1
Saionji,The Sword of Dios doesn't have any special powers per se.,2,1
Paleozoic,"Oceanic Lily, ",2,1
Paleozoic,Oceanic Apple ,2,1
Paleozoic,Oceanic Flower Buds. ,2,1
Saionji,"It is a champion's sword, belonging only to the best.",2,1
Paleozoic,"Oceanic Angel, ",2,1
Paleozoic,"Oceanic Mirror, ",2,1
Saionji,"Yesterday I just wasn't very focused, ",2,1
Paleozoic,"Oceanic Gate, ",2,1
Paleozoic,Oceanic Haze. ,2,1
Saionji,but obviously the difference in our skills is vast!,2,1
Paleozoic,"Carboniferous, Permian, Paleozoic.",2,1
Paleozoic,"The Oceanic You, ",2,1
